Nombre Jugador,Enlace TM,Temporada,Fecha,Último club,Nuevo club,Valor de mercado,Coste
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,14/15,01/07/2014,Deportivo B,Bergantiños FC,-,?
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,13/14,01/07/2013,Bergantiños FC,Deportivo B,-,?
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,13/14,01/07/2013,Bergantiños FC,Deportivo B,-,?
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,22/23,01/07/2022,Bergantiños FC,Casino Arzúa,25.000€,Libre
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,14/15,01/07/2014,Deportivo B,Bergantiños FC,-,?
Aarón Rama,https://www.transfermarkt.es/aaron-rama/transfers/spieler/702939,22/23,01/07/2022,Bergantiños FC,Casino Arzúa,25.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,21/22,31/08/2021,Penya Deportiva,Coruxo FC,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,17/18,16/08/2017,Depor Juvenil A,Racing Ferrol,-,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,18/19,01/07/2018,Racing Ferrol,Silva SD,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,17/18,16/08/2017,Depor Juvenil A,Racing Ferrol,-,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,17/18,16/08/2017,Depor Juvenil A,Racing Ferrol,-,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,20/21,21/09/2020,Depor Fabril,Penya Deportiva,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,18/19,01/07/2018,Racing Ferrol,Silva SD,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,20/21,21/09/2020,Depor Fabril,Penya Deportiva,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,19/20,01/07/2019,Silva SD,Depor Fabril,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,01/07/2022,Coruxo FC,Sin equipo,50.000€,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,07/09/2022,Sin equipo,Somozas,50.000€,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,07/09/2022,Sin equipo,Somozas,50.000€,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,01/07/2022,Coruxo FC,Sin equipo,50.000€,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,19/20,01/07/2019,Silva SD,Depor Fabril,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,21/22,31/08/2021,Penya Deportiva,Coruxo FC,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,18/19,01/07/2018,Racing Ferrol,Silva SD,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,19/20,01/07/2019,Silva SD,Depor Fabril,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,20/21,21/09/2020,Depor Fabril,Penya Deportiva,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,21/22,31/08/2021,Penya Deportiva,Coruxo FC,50.000€,Libre
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,01/07/2022,Coruxo FC,Sin equipo,50.000€,-
Aarón Sánchez,https://www.transfermarkt.es/aaron-sanchez/transfers/spieler/530497,22/23,07/09/2022,Sin equipo,Somozas,50.000€,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,15/16,01/07/2015,Depor Fút. base,Depor Juvenil A,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,17/18,02/07/2017,Depor Juvenil A,Laracha,-,-
Adri Castro,https://www.transfermarkt.es/adri-castro/transfers/spieler/610412,19/20,01/07/2019,Laracha,Depor Fabril,-,-
